username,tweetcreatedts,tweet
_sooberries,2022-07-17 13:57:05+00:00,"@flwrxjyn deg² an bgt pls, besok sekolah offline setelah 2 tahun di rumah HEKSNSJKS 😭😭😭"
eajvran,2022-07-17 13:56:13+00:00,Moga sekolah gw ada rasa kasihan dikit lah bolehin mpls demos nya offline
slrfaa,2022-07-17 13:45:11+00:00,besok sekolah offline anjing watepak
bkatb2s,2022-07-17 13:43:15+00:00,"dan yaa mrk gaada effort bgt gw keselll, klo emg lo ga pnya ya beli kek, pinjem kek, beli jg ga bikin lo miskin2 amat, mrk tuh ga prepareee😭😭 ini anak skrg jiwanya masih pada jiwa daring apa ya? mau sekolah offline tpi gaada persiapan samsek astaghfirullah istigfar deh guee"
nisannisaaaa,2022-07-17 13:36:06+00:00,"Besok hari pertama anter anak sekolah offline. 

Apakah mulai perlu make up? Mana ga bisa pakenya 🥲

Belum lagi insecure sama kerjaan ortu murid lain: dokter, lawyer, psikolog, pengusaha. 🙃"
ShellaHoran,2022-07-17 13:29:47+00:00,"@blackvvdow Semangat, setelah 2 tahun sekolah drmh, akhirnya sekolah offline lagii"
RanBetterRan,2022-07-17 13:20:23+00:00,Besok udah pada sekolah/kuliah offline ya?
_wonsworld,2022-07-17 13:17:29+00:00,"@geminishott SAMA PLS, BESOK SEKOLAH OFFLINE"
taraash33m,2022-07-17 13:06:40+00:00,suka sekolah offline karena uang jajan jd super lancar lg tp gantinya kesehatan mental
LOFSPARKJIE,2022-07-17 13:04:33+00:00,siap sekolah offline tapi tdk siap sekolah full day
bearstrwbrry,2022-07-17 13:03:24+00:00,"besok senin 😏
siapin perlengkapan sekolah ❎
siapin game + video offline buat jamkos ✅"
_evediaa,2022-07-17 12:57:38+00:00,"@schfess kalo manage waktu dalam hal belajar atau ngerjain tugas kamu bisa nyicil pas masih di sekolah (kalo ada jamkos dsb), kalo yang les malah bisa dikerjain di tempat les

kalo sekarang kedengerannya capek karena kelamaan online, tapi aslinya lebih nyaman dan seru offline👍🏻"
vedouryez,2022-07-17 12:49:55+00:00,@tanyakanrl MAU SEKOLAH LG PLSSS😭 ^angkatan korona meronta2 pengen sekolah offline^
chersafeplace,2022-07-17 12:44:49+00:00,"@blauwiee @flzhaa harus beres2in barang buat besok loveee, udh lama gak sekolah offline :”)"
chayunj,2022-07-17 12:44:03+00:00,@loveedive @secretsvie @mathematiciian ak gabisa bsk udh mulai sekolah offline huh mmf yh 😿
arlecchinooi,2022-07-17 12:37:37+00:00,@SMOKlNDOG di sekolah gwe udh offline semua
bangtanluv7_,2022-07-17 12:28:30+00:00,@favll_ @nengnied @KememkeuSG @abcdefu_nan @lysxn4yy @PPtn2022 @KOKOLACENT @elelscat Temen gue nonis hapal Asmaul Husna waktu sekolah offline dulu :)
Isskwkssllzz,2022-07-17 12:27:20+00:00,"Besok senin, besok sekolah offline pulang sore😁 Besok Teman kelasnya Di rolling 😁 Besok Gwehj stress😁 Besok w gda temen di kelas cuz gd tg wkenal😁 apakah aku akan terbuli!?😁"
featdyno,2022-07-17 12:26:47+00:00,"@dikeylupamandi sbnernya dahh offline, tapi karna sekolah nya dipake buat mpls jadi kakel pada daring"
Ryufans62,2022-07-17 12:20:15+00:00,"@R2ylc Makasih atas au ryeji yang panjang x lebar, yg pasti seru banget dan greget banget..anyway semangat sekolah offline setelah sekian lama 😆"
09thrd,2022-07-17 12:17:14+00:00,"kenapa pada takut besok sekolah ya? padahal sekolah seru tau, apalagi udah pada offline gini."
arrseliaa,2022-07-17 12:14:55+00:00,"@Gchoiyujin cie sekolah offline, smangat yh smoga gk stres"
