username,tweetcreatedts,tweet
rkvvkie,2022-07-13 12:20:20+00:00,@minkimtaegi iyaa ka udah offline kemarin 3 hari sekolah berangkat jam 4 huhu
croyszant,2022-07-13 12:18:02+00:00,"@convomf mending pulangnya lebih pagi ga si drpd daring, tapi walopun pemerintah nyuruh online lagi sekolah ku kayanya tetep ngotot offline si"
faerihaneul,2022-07-13 12:14:36+00:00,pppp kalian yang sekolah offline wajib pake masker kah?
machlalattes,2022-07-13 12:12:33+00:00,"@convomf jgn gt anjeng, gue offline aja materi di sekolah banyak yg gak masuk. Apalagi klo online.."
liawonslove,2022-07-13 12:04:38+00:00,"@cinnapmon BTUL HARUS TETAP SEMANGAT 😌💪 seruu ih mpls offline, aku dulu online gak seru bggttt mana suka nge-lag gitu zoom nya 😩 mangatss ya biruu di sekolah baru nyaa! semoga ketemu temen2 yang baikk dan seruu biar bisa selalu hepii di sekolah 😆🌈"
sufferasep,2022-07-13 11:58:00+00:00,UDS SEKOLAH OFFLINE QONTOL😤😤😤
eunbiese,2022-07-13 11:38:07+00:00,"@schfess It’s gonna be rude maybe but nder, even you’re still on 10. Masih masa mpls lagi. Bersyukur anjir lo mpls mulai offline lagi, gak online. Lo putus sekolah mau jadi apa? Pengangguran? Want to have a small business? Atau bahkan mau punya cita-cita belajar di top10/luar negeri?"
jaeminandd,2022-07-13 11:33:56+00:00,lu kalo sekolah offline pada pulang jam brp si
tyadaa__,2022-07-13 11:07:25+00:00,"@3CareIndonesia Sejak 2013 min, sudah 9 tahun pakai Tri menemani masa-masa sekolah, kuliah offline sampe kuliah online dan hingga sekarang masih setia sama Tri. Ayoo Tri banyakin promonya, paket kuotanya jangan mahal-mahal ❤ 
#YukPakaiTri https://t.co/nLLTwpQ2Mq"
tyadaa__,2022-07-13 11:06:09+00:00,"@3CareIndonesia Sejak 2013 min, sudah 9 tahun pakai Tri menemani masa-masa sekolah, kuliah offline sampe kuliah online dan hingga sekarang masih setia sama Tri. Ayoo Tri banyakin promonya, paket kuotanya jangan mahal-mahal, sinyalnya ditingkatkan lagi biar gak cuma di kota doang

#YukPakaiTri"
_shafira__,2022-07-13 10:53:06+00:00,"Perbandingannya sih liat sekolah lain yang biaya per bulan di atasnya, outingnya udah offline semenjak tahun ini, sedangkan mereka masih online aja, ya atuh kesian anak2 cuma dikasih jalan2 online mulu bareng sekolah tapi sama ortunya tetep jalan2 offline 🥲😂"
LutfiIndana3,2022-07-13 10:50:27+00:00,"Haii gaes gimana nih persiapan buat sekolah nya, sudah nyiapin apa aja nih kira kira. Aku mau rekomendasiiin bimbel offline Ruangguru yang sudah tersedia di berbagai kota di indonesia loh. Yuk yang mau info fasilitas dan pendaftaran bisa banget hubungi aku ya https://t.co/yTTXcaVsZO"
nishiiyya,2022-07-13 10:44:40+00:00,gua terharu ngeliat alizh sekarang udh sekolah offline kyk biasa. langsung deh nostalgia 4 tahun yg lalu 🫤
DeanFathan,2022-07-13 10:27:17+00:00,"Sekolah offline nyampe jam 4 setres ga si keknya, dah lama ga sekolah normal"
divinyujin,2022-07-13 09:38:25+00:00,@mnochrlly kamu dom manaa? kalo mau offline bisa brain academy kalo deket rumah/sekolah
ssimjaeyun,2022-07-13 09:04:35+00:00,sekolah offline enak tp nyiksa
lacheesymelt,2022-07-13 08:42:56+00:00,Yuppp bentaran lagi udah offline sekolah dan kuliah nya. Jgn lupa di checkout laptopnya🫣 https://t.co/aF5VR0CnzM https://t.co/7Tf7YkuapH
fizzlepaww,2022-07-13 08:17:58+00:00,Hidupnya kurang masalah apa gimana sih orang yang ngide benerin jalan pas sekolah udah mulai offline. Kenapa kagak kemarin kemarin😭
panggilsajaodri,2022-07-13 07:34:08+00:00,@FOOD_FESS Dah mulai kerja dan sekolah offline. Ga sempet masak² apalagi bikin thread resep masakan wkwk
snxdpx,2022-07-13 07:18:22+00:00,@FOOD_FESS Udh pada sibuk sekolah/kuliah/kerja offline
