tweet,tweet_cf
"@dewapuci @PAClearning Kantor + sekolah ud mulai msk offline, pusiang Bu.
Semoga gak kejadian","@dewapuci @paclearning kantor + sekolah ud mulai msk offline, pusiang bu.
semoga gak kejadian"
"@convomf Bersyukur, itu yang bilang mau online aja egois kalian, gua malah bersyukur bgt dengan adanya offline lagi walaupun 2 pekan sekali, adek gua sekarang paham berkalian dikit-dikit, tolong lah ngertiin yang lain, kan ada juga tuh di sekolah di kasih surat ketidaksiapan offline...","@convomf bersyukur, itu yang bilang mau online aja egois kalian, gua malah bersyukur bgt dengan adanya offline lagi walaupun 2 pekan sekali, adek gua sekarang paham berkalian dikit-dikit, tolong lah ngertiin yang lain, kan ada juga tuh di sekolah di kasih surat ketidaksiapan offline..."
"@dewapuci Waduh, adekku dah masuk sekolah offline","@dewapuci waduh, adekku dah masuk sekolah offline"
Sekolah deket rumahku udah offline dan aku baru tau karena terlalu lama bersembunyi di dalam rumah (:,sekolah deket rumahku udah offline dan aku baru tau karena terlalu lama bersembunyi di dalam rumah (:
@lleechanie cieee sekolah offline yaa?,@lleechanie cieee sekolah offline yaa?
bisa gk sih sekolah offline online sesuai mood 😭 https://t.co/TtI1SFKAWN,bisa gk sih sekolah offline online sesuai mood 😭 https://t.co/tti1sfkawn
Gemes banget ponakan udah mulai sekolah offline,gemes banget ponakan udah mulai sekolah offline
Di antara heboh kerjaan dan anak mau sekolah offline tuh… 🤯🤯🤯🤯🤯,di antara heboh kerjaan dan anak mau sekolah offline tuh… 🤯🤯🤯🤯🤯
@rnjunchnle Ngantuk tapi harus sekolah offline😭,@rnjunchnle ngantuk tapi harus sekolah offline😭
@convomf Dah sekolah offline kh??,@convomf dah sekolah offline kh??
sumpah pengen sekolah offline biar dapet sanguu😭😭,sumpah pengen sekolah offline biar dapet sanguu😭😭
"@convomf Offline class rasa nya ga kaya sekolah biasa, gaenak anjr 😭😭. Ngobrol gabisa, terus di gw juga gaada istirahat jadi emang cuman belajar terus pulang. Mau ngobrol sama temen duduk nya jauh jauhan, terus mana kek orang budek kalo mau ngobrol . Dahlah pengen offline aja 🙏🏻","@convomf offline class rasa nya ga kaya sekolah biasa, gaenak anjr 😭😭. ngobrol gabisa, terus di gw juga gaada istirahat jadi emang cuman belajar terus pulang. mau ngobrol sama temen duduk nya jauh jauhan, terus mana kek orang budek kalo mau ngobrol . dahlah pengen offline aja 🙏🏻"
@slrvrqueen Emng sekolah lu udh offline??,@slrvrqueen emng sekolah lu udh offline??
@peachgirlllllll Gimana Aii? Seru kan sekolah offline?,@peachgirlllllll gimana aii? seru kan sekolah offline?
"@convomf Padahal enak sekolah offline, kmrn pas w ngambilin raport adek tiba2 jd flashback masa sekolah dan itu seru bgt woeeeee😭 kalo ada kesempatan pingin balik ke masa2 SMA😭","@convomf padahal enak sekolah offline, kmrn pas w ngambilin raport adek tiba2 jd flashback masa sekolah dan itu seru bgt woeeeee😭 kalo ada kesempatan pingin balik ke masa2 sma😭"
"Heran liat anak sekolah yang sekolah ga pakek masker trs keluyuran. Jgn karena sekolah udah offline jd beranggapan keadaan udah baik2 aja napa sih lol. Covid itu belum selesai, apasih salahnya ikuti prokes. Sementang aturan udah diperlonggar bukan berarti semua nya baik baik aja!","heran liat anak sekolah yang sekolah ga pakek masker trs keluyuran. jgn karena sekolah udah offline jd beranggapan keadaan udah baik2 aja napa sih lol. covid itu belum selesai, apasih salahnya ikuti prokes. sementang aturan udah diperlonggar bukan berarti semua nya baik baik aja!"
w udh sekolah offline tp pgn daring lg ahhhhh,w udh sekolah offline tp pgn daring lg ahhhhh
Sumpah kenapa pas sekolah offline malah numpuk woi tugasnya 😭😭💔,sumpah kenapa pas sekolah offline malah numpuk woi tugasnya 😭😭💔
"@convomf online study offline exam, hebat banget sekolah gue","@convomf online study offline exam, hebat banget sekolah gue"
@kayarayaaaaa @convomf Betul ntar d kasih online + offline sekalian siang malem sekolah apa gak meninggoy 😁✌,@kayarayaaaaa @convomf betul ntar d kasih online + offline sekalian siang malem sekolah apa gak meninggoy 😁✌
@yournangel belum kak lagi sekolah offline,@yournangel belum kak lagi sekolah offline
re: sekolah offline,re: sekolah offline
jujur udah capek banget sekolah offline,jujur udah capek banget sekolah offline
"@billkinp Pas masih sekolah offline 2019, di kantinku te jus udh 2k","@billkinp pas masih sekolah offline 2019, di kantinku te jus udh 2k"
@hiyykaruu Lagi kelas ? Sekolah offline kah?,@hiyykaruu lagi kelas ? sekolah offline kah?
kalian lagi sekolah kah? online pa offline?,kalian lagi sekolah kah? online pa offline?
"ini kaya nya indonesia sudah mulai normal ya, soalnya ada wacana sekolah sampe sore😭

bukan nya ga suka, bersyukur bgtt
tapi aku sukanya kegiatan online. alias belum lulus cuy, deg degan gue sidang skripsi nya offline😭😭","ini kaya nya indonesia sudah mulai normal ya, soalnya ada wacana sekolah sampe sore😭

bukan nya ga suka, bersyukur bgtt
tapi aku sukanya kegiatan online. alias belum lulus cuy, deg degan gue sidang skripsi nya offline😭😭"
gue yang gak pernah excited sekolah offline........... sangat mnyesal https://t.co/OE3sTDV3H9,gue yang gak pernah excited sekolah offline........... sangat mnyesal https://t.co/oe3stdv3h9
pengen sekolah offline anj,pengen sekolah offline anj
"@convomf Bener anjir, sekolah offline cape bngt","@convomf bener anjir, sekolah offline cape bngt"
🤍 kalian yg kuliah/sekolah offline klo lgi belajar kalian nyalain lampur kamar gak?,🤍 kalian yg kuliah/sekolah offline klo lgi belajar kalian nyalain lampur kamar gak?
"@convomf Offline malah kyk buang buang waktu, yg biasa nya bisa ku pake buat ngerjain tugas malah ada di sekolah. Klo misal guru nya masuk dtg jelasin materi gkpp, tpi masalahnya ada beberapa guru yg dtg cuma kasi tugas doang. Kadang ada guru yg tiap jam mapel beliau dipake bahas tatib😩","@convomf offline malah kyk buang buang waktu, yg biasa nya bisa ku pake buat ngerjain tugas malah ada di sekolah. klo misal guru nya masuk dtg jelasin materi gkpp, tpi masalahnya ada beberapa guru yg dtg cuma kasi tugas doang. kadang ada guru yg tiap jam mapel beliau dipake bahas tatib😩"
"@jaemcityx pagii makjii, aku udh mulai sekolah offline dongg hehee","@jaemcityx pagii makjii, aku udh mulai sekolah offline dongg hehee"
"jujur y njir, aku ngga tau sekolah ku udah offline atau masih online 😭😭","jujur y njir, aku ngga tau sekolah ku udah offline atau masih online 😭😭"
@songpoo_ dak jujur ga enak njr sekolah offline,@songpoo_ dak jujur ga enak njr sekolah offline
sama beli permen biru😭😭😭tdi bingung beli permen biru apa bubblegum tapi permen biru favku dulu wktu skolah offline ya allah kangen jajan sekolah dulu😭 https://t.co/1YdK7hGyGv,sama beli permen biru😭😭😭tdi bingung beli permen biru apa bubblegum tapi permen biru favku dulu wktu skolah offline ya allah kangen jajan sekolah dulu😭 https://t.co/1ydk7hgygv
@songpoo_ Udah mulai sekolah offline ya?,@songpoo_ udah mulai sekolah offline ya?
sch! SEKOLAH SENDER HARI INI HARLAH OFFLINE LAGI TAPI SAYANG GA BOLEH DI UPLOAD. FOTO2 NYAAA T_____T,sch! sekolah sender hari ini harlah offline lagi tapi sayang ga boleh di upload. foto2 nyaaa t_____t
💙 kalian diijinin sekolah offline atau ngga??? kalo ngga alasannya kenapaaa,💙 kalian diijinin sekolah offline atau ngga??? kalo ngga alasannya kenapaaa
"@SeaHaee Tapi beneran sekolah itu sumber penyebaran penyakit ya...sejak sekolah offline, ga pernah tuh anak2 kena batpil..pdhl dlu bisa 2 bulan sekali gantian ke dokter gara2 batpil.. 😑😑","@seahaee tapi beneran sekolah itu sumber penyebaran penyakit ya...sejak sekolah offline, ga pernah tuh anak2 kena batpil..pdhl dlu bisa 2 bulan sekali gantian ke dokter gara2 batpil.. 😑😑"
@convomf Gua dah lama offline betah kok pengen dibikin capek sama bolak balik sekolah dari pada capek ga ngapa ngapain di rumah,@convomf gua dah lama offline betah kok pengen dibikin capek sama bolak balik sekolah dari pada capek ga ngapa ngapain di rumah
"@lluvveerr gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌","@lluvveerr gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌"
"@keyshazzz gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌","@keyshazzz gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌"
"Aku bangun pagi lalu pergi ke kamar adek dan ternyata dia hari ini sekolah offline, lalu pergi ke rumah tante tapi duo monyet dah ke rumah temennya. Pagi ini sangat membosankan, gaada yang bisa kuganggu. Mau ganggu mama yg berkebun pun pasti dimarahin:((","aku bangun pagi lalu pergi ke kamar adek dan ternyata dia hari ini sekolah offline, lalu pergi ke rumah tante tapi duo monyet dah ke rumah temennya. pagi ini sangat membosankan, gaada yang bisa kuganggu. mau ganggu mama yg berkebun pun pasti dimarahin:(("
@rnjunchnle Pengin beli ini buat sekolah offline soalnya bateraiku boros bangettt 😔 https://t.co/CmFaPjWlJO,@rnjunchnle pengin beli ini buat sekolah offline soalnya bateraiku boros bangettt 😔 https://t.co/cmfapjwljo
"Kekurangan sekolah offline sakit pinggang cug, cape duduk mulu","kekurangan sekolah offline sakit pinggang cug, cape duduk mulu"
"@teenyumd @sy4sh4kh4 gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌","@teenyumd @sy4sh4kh4 gess aku mau bilang, ntar selepas 14/11 mungkin aku sudah gak bakalan aktif lebih tepatnya udah sekolah offline dan aku asrama,,ahayyyy,, masih lama sih

yaaahh kira kira gitu translate jametnya😌"
"[askrl] spill outer yang bagus buat seragam sekolah, dong
mau offline nih 🤩","[askrl] spill outer yang bagus buat seragam sekolah, dong
mau offline nih 🤩"
Knp sekolah offline tuh klo istirahat bentar bgt😭 bekel gua gk pernah abis klo bawaa😭 https://t.co/qDmrVh5j5h,knp sekolah offline tuh klo istirahat bentar bgt😭 bekel gua gk pernah abis klo bawaa😭 https://t.co/qdmrvh5j5h
"@_cimory Nggak, sekolah offline sudah pulang","@_cimory nggak, sekolah offline sudah pulang"
@convomf gue juga lebih ke sekolah online sih tapi gue ngerasa perlu untuk offline biar lebih berani karna sumpahh selama online gue jadi lebih kayak kurang pd trus takut buat bersosialisasi. makanya gue selalu bilang kediri sendiri LO HARUS ADA PERUBAHAN😭😭 gangerti jga ama diri sendiri https://t.co/MbmpcsvlJA,@convomf gue juga lebih ke sekolah online sih tapi gue ngerasa perlu untuk offline biar lebih berani karna sumpahh selama online gue jadi lebih kayak kurang pd trus takut buat bersosialisasi. makanya gue selalu bilang kediri sendiri lo harus ada perubahan😭😭 gangerti jga ama diri sendiri https://t.co/mbmpcsvlja
gatau aja yg lulusan c word pengen balik sekolah offline,gatau aja yg lulusan c word pengen balik sekolah offline
mager bgt anying sekolah offline,mager bgt anying sekolah offline
"adek gue pada sekolah offline, gue di rumah ga ngapa ngapain kuliah jg baru tar sore. berasa pengangguran anjir","adek gue pada sekolah offline, gue di rumah ga ngapa ngapain kuliah jg baru tar sore. berasa pengangguran anjir"
"@mashiikaru daring tuh sekolah online klo ptm pelajaran tatap muka jd offline gtu, emank km sekarang ga kuliah kh kok berkeliaran","@mashiikaru daring tuh sekolah online klo ptm pelajaran tatap muka jd offline gtu, emank km sekarang ga kuliah kh kok berkeliaran"
"@bertanyarl gue bngt kalo di sekolah😭mana kelas gue ganti jadi ga nyampe sama wifi sekolah sad bgt akhirnya cuma buka galeri, atauga main game offline😭","@bertanyarl gue bngt kalo di sekolah😭mana kelas gue ganti jadi ga nyampe sama wifi sekolah sad bgt akhirnya cuma buka galeri, atauga main game offline😭"
"sekolah offline 2 jam gerah banget anjir, mana gaboleh nyalain AC","sekolah offline 2 jam gerah banget anjir, mana gaboleh nyalain ac"
@convomf Sekolah offline berasa latihan militer,@convomf sekolah offline berasa latihan militer
"@convomf BETUL setiap sekolah offline bawaanya panic attack terus, bagusan online jdi rada tenang","@convomf betul setiap sekolah offline bawaanya panic attack terus, bagusan online jdi rada tenang"
@busifess iyaa nder kynya pada mulai sekolah offline,@busifess iyaa nder kynya pada mulai sekolah offline
"Jujur ya pas sma tuh kan gua 1,5thn ke potong Corona jadi online, emng enak sih online tapi lebih enak offline. Karna beneran kerasa bgt sekolah nya terus juga jadi punya kenangan gtu deh, klo bisa SMA lagi gua juga pengen Anying rasain jadi agit","jujur ya pas sma tuh kan gua 1,5thn ke potong corona jadi online, emng enak sih online tapi lebih enak offline. karna beneran kerasa bgt sekolah nya terus juga jadi punya kenangan gtu deh, klo bisa sma lagi gua juga pengen anying rasain jadi agit"
kalian udh masuk sekolah offline blm?,kalian udh masuk sekolah offline blm?
"@LJmanager IYA KAK
Ini aku expo gitu kan, dari univ sm bimbel. Trs emg ada jadwal kita dtg ke sekolah. Aku kira expo nya bakal offline kl kita ke sklh, ternyata sama aja, ttp join zoom🧘","@ljmanager iya kak
ini aku expo gitu kan, dari univ sm bimbel. trs emg ada jadwal kita dtg ke sekolah. aku kira expo nya bakal offline kl kita ke sklh, ternyata sama aja, ttp join zoom🧘"
"@schfess dua duanya sih. online lebih ringan, materi ga nyampe kepala, tapi ada banyak waktu buat searching kembali materi yang diajarin. offline berat, tapi materinya masuk otak, cape setiap pulang sekolah muka selalu pucet...","@schfess dua duanya sih. online lebih ringan, materi ga nyampe kepala, tapi ada banyak waktu buat searching kembali materi yang diajarin. offline berat, tapi materinya masuk otak, cape setiap pulang sekolah muka selalu pucet..."
Hari nie kalian pda sekolah online atau msih offline?,hari nie kalian pda sekolah online atau msih offline?
untung beberapa masih online kalo offline udah jadi korban bullyan nii fans MU di sekolah,untung beberapa masih online kalo offline udah jadi korban bullyan nii fans mu di sekolah
Hii moots!! Kalian udah mulai sekolah/kuliah offline ga? Aku ke kampus cuman buat praktikum 😭,hii moots!! kalian udah mulai sekolah/kuliah offline ga? aku ke kampus cuman buat praktikum 😭
@ilenoirr Sekolah offline,@ilenoirr sekolah offline
"sekolah offline, biasanya jam 06.20 udh berangkat, tpi tdi jam 06.39 baru bangun(lagi), bisa""nya udh bangun jam 04.40 malah tidur lagi,hadeh tolol banget dh😮‍💨untung kaga telat","sekolah offline, biasanya jam 06.20 udh berangkat, tpi tdi jam 06.39 baru bangun(lagi), bisa""nya udh bangun jam 04.40 malah tidur lagi,hadeh tolol banget dh😮‍💨untung kaga telat"
Males bngt sekolah offline,males bngt sekolah offline
@A_ChristyJKT48 Kalo sekolah offline udah ketinggalan bus sekolah nih,@a_christyjkt48 kalo sekolah offline udah ketinggalan bus sekolah nih
"@haeeeedarrrr Ngga,soalnya aku jawalnya sekolah offline","@haeeeedarrrr ngga,soalnya aku jawalnya sekolah offline"
"morning semuaa!!aku sekolah offline today,kalian gmn?daring/offline🫂","morning semuaa!!aku sekolah offline today,kalian gmn?daring/offline🫂"
@convomf Makin kesini makin males sekolah offline anjir,@convomf makin kesini makin males sekolah offline anjir
gue mau sekolah offline,gue mau sekolah offline
"@rjchanyxw Sekolah Offline, udah nih😁","@rjchanyxw sekolah offline, udah nih😁"
"FR sekolah gue gajelas bgt anyink, masa mau dibotakin 😭 mending offline aja kalo gitu 😭 https://t.co/WqPFLw3tok","fr sekolah gue gajelas bgt anyink, masa mau dibotakin 😭 mending offline aja kalo gitu 😭 https://t.co/wqpflw3tok"
"@txtdarigajelas Emang mendingan sekolah offline dah, onlen gini jd ga ada adab","@txtdarigajelas emang mendingan sekolah offline dah, onlen gini jd ga ada adab"
aku mah dari awal dgr bakal balik sekolah offline langsung ga tenang hati https://t.co/MZV86y2gwk,aku mah dari awal dgr bakal balik sekolah offline langsung ga tenang hati https://t.co/mzv86y2gwk
@imnoturfavv_ Eyy... Kamu sekolah offline yyy? Wkwkwk,@imnoturfavv_ eyy... kamu sekolah offline yyy? wkwkwk
"@sopechive Sekolah sih, but tidak offline hehe","@sopechive sekolah sih, but tidak offline hehe"
aku close dulu sampe nanti siangg soalnya hari ini sekolah offline😃,aku close dulu sampe nanti siangg soalnya hari ini sekolah offline😃
@rhmrnjn belum offline nih:( SEMANGAT SEKOLAH OFFLINE NYA YAA !!!,@rhmrnjn belum offline nih:( semangat sekolah offline nya yaa !!!
"@schfess Campur aja sie kayak sekolah ak
Seminggu 2 kali offline sesuai jadwal masing², dicampur online buat mapel yang dirasa ga terlalu penting di kejuruan (kayak pkn, sunda, dll)
Jadi offline tuh fokus di mapel penting kayak mtk sama mapel kejuruan 👍🏻","@schfess campur aja sie kayak sekolah ak
seminggu 2 kali offline sesuai jadwal masing², dicampur online buat mapel yang dirasa ga terlalu penting di kejuruan (kayak pkn, sunda, dll)
jadi offline tuh fokus di mapel penting kayak mtk sama mapel kejuruan 👍🏻"
"sebenernya selama satu jadwal sama bestie ya, sekolah offline tuh asik https://t.co/7IACawjKw9","sebenernya selama satu jadwal sama bestie ya, sekolah offline tuh asik https://t.co/7iacawjkw9"
Kapann aku sekolah offline? 😭😭😭😭😭,kapann aku sekolah offline? 😭😭😭😭😭
"@convomf giliran online katanya pengen offline, pas offline pengen balik online. ga usah sekolah aja yuk bisa yuk","@convomf giliran online katanya pengen offline, pas offline pengen balik online. ga usah sekolah aja yuk bisa yuk"
pada sekolah offline  ya?,pada sekolah offline  ya?
sekolah offline day 1 banyak jamkos nya,sekolah offline day 1 banyak jamkos nya
"tanyarl kalian risih ga sih kalo misal temen kalian ngomong gini? (konteks: sekolah adain event, ada 3 kegiatan beda dan setiap murid pilih 1. eventnya wajib dan offline sedangkan sekolah masih online) https://t.co/dJXaxq4zue","tanyarl kalian risih ga sih kalo misal temen kalian ngomong gini? (konteks: sekolah adain event, ada 3 kegiatan beda dan setiap murid pilih 1. eventnya wajib dan offline sedangkan sekolah masih online) https://t.co/djxaxq4zue"
@nanajaemin2713 sekolah online offline nih?? btw udh sarapan lom?,@nanajaemin2713 sekolah online offline nih?? btw udh sarapan lom?
@peachiesjeha sekolah online offline nih?? btw udh sarapan lom?,@peachiesjeha sekolah online offline nih?? btw udh sarapan lom?
Sekolah udh offline tpi masih ada tugas video. It's another level of pain🥲,sekolah udh offline tpi masih ada tugas video. it's another level of pain🥲
sekolah kalian offline atau online?,sekolah kalian offline atau online?
kalian sekolah offline atau online?,kalian sekolah offline atau online?
"bener bgt anjir. udah nolep, gpunya temen disekolah lagi🥲. klo sekolah offline pusing bgt jujur https://t.co/sxUhqJCDzr","bener bgt anjir. udah nolep, gpunya temen disekolah lagi🥲. klo sekolah offline pusing bgt jujur https://t.co/sxuhqjcdzr"
"@HWidjanarka semangat guru memang terletak pada kehadiran muridnya ke sekolah seh,apalagi semenjak pandemi yang memaksa sekolah harus online, terus sekarang perlahan mulai kembali offline lagi rasane semangat mengajar langsung berlipat ganda. menurut ku seh seperti itu 😅","@hwidjanarka semangat guru memang terletak pada kehadiran muridnya ke sekolah seh,apalagi semenjak pandemi yang memaksa sekolah harus online, terus sekarang perlahan mulai kembali offline lagi rasane semangat mengajar langsung berlipat ganda. menurut ku seh seperti itu 😅"
sekolah offline/online?,sekolah offline/online?
sekolah offline tidak seseru yang di bayangkann.... https://t.co/Mr1R79MP7J,sekolah offline tidak seseru yang di bayangkann.... https://t.co/mr1r79mp7j
@tennaddict semoga bisa sekolah offline lagi yapp,@tennaddict semoga bisa sekolah offline lagi yapp
"@abcdefriendlyz hlow, udh sekolah offline? semangatt 💪🏻","@abcdefriendlyz hlow, udh sekolah offline? semangatt 💪🏻"
@E1O19 Offline apa online dah sekolah e? Tar gua udah bantu bikin alesan taunya offline,@e1o19 offline apa online dah sekolah e? tar gua udah bantu bikin alesan taunya offline
"p t the m, siapa yang sekolah offline? https://t.co/bhjxl90Wso","p t the m, siapa yang sekolah offline? https://t.co/bhjxl90wso"
"Sekolah offline hari ini AAAAAA
Ak berapa kli bikin sekelas ketawa *pamer","sekolah offline hari ini aaaaaa
ak berapa kli bikin sekelas ketawa *pamer"
"Agree, jujur sekolah offline sekarang ga enak idk why https://t.co/CvyUTWqe9n","agree, jujur sekolah offline sekarang ga enak idk why https://t.co/cvyutwqe9n"
@TXTdariHunter sekolah online / offline?,@txtdarihunter sekolah online / offline?
"@H0URLYHAN MSLHNYA DI SEKOLAH SY TUH UDH OFFLINE.. CM SY SAKIT, JDINYA DARING","@h0urlyhan mslhnya di sekolah sy tuh udh offline.. cm sy sakit, jdinya daring"
eh kalian yang sekolah offline itu berapa jam?,eh kalian yang sekolah offline itu berapa jam?
@zhevaanee km sekolah ga? offline atau online nie?,@zhevaanee km sekolah ga? offline atau online nie?
"Sekolah offline,,, apakah sekarang saya tertarik?? Ohh tentu saja TIDAK.","sekolah offline,,, apakah sekarang saya tertarik?? ohh tentu saja tidak."
@sunflarfo semangatt ptm nya!! sekolah offline tp sesi 2 siang,@sunflarfo semangatt ptm nya!! sekolah offline tp sesi 2 siang
mootssss kalian hari ini sekolah online atau offline? 🧐🧐🧐,mootssss kalian hari ini sekolah online atau offline? 🧐🧐🧐
@boongimork pasti sekolah offline,@boongimork pasti sekolah offline
sekolah offline panas👎,sekolah offline panas👎
@feylise ooh sama dong besok aku jg sekolah offline! semangat sekolahnya yaa,@feylise ooh sama dong besok aku jg sekolah offline! semangat sekolahnya yaa
"@bertanyarl lagi sekolah offline, tapi gurunya dari tadi gaada dan semoga jamkos wkwk https://t.co/AIMQh7Utcq","@bertanyarl lagi sekolah offline, tapi gurunya dari tadi gaada dan semoga jamkos wkwk https://t.co/aimqh7utcq"
"@omnnivora Bangun, sekolah, offline😌😌😌🙂","@omnnivora bangun, sekolah, offline😌😌😌🙂"
tgl 3 des bangtan konser offline gue sekolah offline tai,tgl 3 des bangtan konser offline gue sekolah offline tai
kalian masih sekolah online / offline?,kalian masih sekolah online / offline?
"morning,dari aku yang sekolah offline 💛","morning,dari aku yang sekolah offline 💛"
@markliioon Udah🥰 dyaz udah sarapan belom? Hari ini aku sekolah offline 🤘 have a nice day too dyaz💗,@markliioon udah🥰 dyaz udah sarapan belom? hari ini aku sekolah offline 🤘 have a nice day too dyaz💗
kalian udh ada yg sekolah offline kah?,kalian udh ada yg sekolah offline kah?
"@mathmallow Kalo ada class meet offline ntar yg bukan PO banyak yg jd korban buat ikut lomba, soalnya PO ga boleh ikut lomba di class meet. Kalo di sekolah ku si gitu, sekolahmu iya ga beb?","@mathmallow kalo ada class meet offline ntar yg bukan po banyak yg jd korban buat ikut lomba, soalnya po ga boleh ikut lomba di class meet. kalo di sekolah ku si gitu, sekolahmu iya ga beb?"
Pertama kli sekolah offline https://t.co/9VPDn5nlKY,pertama kli sekolah offline https://t.co/9vpdn5nlky
@pearlforjeno_ sekolah online offline nih?? btw udh sarapan lom?,@pearlforjeno_ sekolah online offline nih?? btw udh sarapan lom?
@sze_lxyc229 sekolah online offline nih?? btw udh sarapan lom?,@sze_lxyc229 sekolah online offline nih?? btw udh sarapan lom?
@BucinnyaRenjun5 sekolah online offline nih?? btw udh sarapan lom?,@bucinnyarenjun5 sekolah online offline nih?? btw udh sarapan lom?
@tenyuwmay sekolah online offline nih?? btw udh sarapan lom?,@tenyuwmay sekolah online offline nih?? btw udh sarapan lom?
"pagiii..
buat yg sekolah offline SEMANGAT YAA!!💗💗✨","pagiii..
buat yg sekolah offline semangat yaa!!💗💗✨"
@sunshinellaaa sekolah online offline nih?? btw udh sarapan lom?,@sunshinellaaa sekolah online offline nih?? btw udh sarapan lom?
@huangplanet sekolah online offline nih?? btw udh sarapan lom?,@huangplanet sekolah online offline nih?? btw udh sarapan lom?
"@bonngbudi @_m0ndhs_ Hari ini aku kesekolahh, Kim sudah sekolah offline atau masih online Uncle?","@bonngbudi @_m0ndhs_ hari ini aku kesekolahh, kim sudah sekolah offline atau masih online uncle?"
"@doycoungt HALOO RINN AKSKSUSJSNS YAALLAH, gimana kabarnyaaa??? dhh sarapan lummm?? hari ini sekolah? daring? offline? kuliah? kerja? apapun itu semangatt rinnn!!!","@doycoungt haloo rinn aksksusjsns yaallah, gimana kabarnyaaa??? dhh sarapan lummm?? hari ini sekolah? daring? offline? kuliah? kerja? apapun itu semangatt rinnn!!!"
@y00_rina11 hyonk kao sekolah offline tdk,@y00_rina11 hyonk kao sekolah offline tdk
"Paling males sekolah offline kyk gini, mana cuman 6 org","paling males sekolah offline kyk gini, mana cuman 6 org"
@subschfess Aku malah semangat bgt sekolah offline 🥺,@subschfess aku malah semangat bgt sekolah offline 🥺
kalian hari ini sekolah offline/online?,kalian hari ini sekolah offline/online?
asw besok sekolah offline,asw besok sekolah offline
Sch! Males banget hari senin sekolah offline:(((( https://t.co/DqLGm9ozxs,sch! males banget hari senin sekolah offline:(((( https://t.co/dqlgm9ozxs
@sakmashiro Semangat sekolah offline nya dek,@sakmashiro semangat sekolah offline nya dek
@taesmileliketht bagian pjj aku. semangat sekolah offline nyaa !,@taesmileliketht bagian pjj aku. semangat sekolah offline nyaa !
aku agy sekolah offline,aku agy sekolah offline
"@RustyRov ya klo emang lu mau males malesan mending bdr sih dim, tapi mau kerasa gak jenuh trs seru mending sekolah offline 😄🧐","@rustyrov ya klo emang lu mau males malesan mending bdr sih dim, tapi mau kerasa gak jenuh trs seru mending sekolah offline 😄🧐"
aaaaa aku sekolah offline,aaaaa aku sekolah offline
aku yo ndak kuat nek sekolah offline:( https://t.co/kW9L7EwC5c,aku yo ndak kuat nek sekolah offline:( https://t.co/kw9l7ewc5c
"kalian yang sekolah offline, pulangnya jam berapa? 💭","kalian yang sekolah offline, pulangnya jam berapa? 💭"
sekolah offline/online?,sekolah offline/online?
"selamat pagi semuaaa
sekolah offline huft","selamat pagi semuaaa
sekolah offline huft"
@mcflurrychokoo offline tapi sekolah siang,@mcflurrychokoo offline tapi sekolah siang
"@schfess Punyaa, waktu masih jaman sekolah offline, ak make lagu ini buat alarm😓🖐️","@schfess punyaa, waktu masih jaman sekolah offline, ak make lagu ini buat alarm😓🖐️"
@gabuniki Sekolah udah pada offline yak😭😭😭😭 kalo gurunya ganteng inget kata tukang ayam bakar,@gabuniki sekolah udah pada offline yak😭😭😭😭 kalo gurunya ganteng inget kata tukang ayam bakar
"@miniecaa pagiii, semangatt sekolah offline nyaa. jangan deg deg an yaaa","@miniecaa pagiii, semangatt sekolah offline nyaa. jangan deg deg an yaaa"
@kimatchaju iya kan gw sekolah offline,@kimatchaju iya kan gw sekolah offline
"pagiiii, hari ini aku sekolah offline hari pertama. deg²an banget plisss 😭","pagiiii, hari ini aku sekolah offline hari pertama. deg²an banget plisss 😭"
Aw sy sekolah offline 😍,aw sy sekolah offline 😍
"Pagi moots! Yg sekolah offline semangat, yg daring jangan tidur","pagi moots! yg sekolah offline semangat, yg daring jangan tidur"
"@Fenly_un1ty Morining kak fen❤ , ini lagi siap2 mau sekolah offline","@fenly_un1ty morining kak fen❤ , ini lagi siap2 mau sekolah offline"
"pagiii, buat yang sekolah offline semangat ya♡","pagiii, buat yang sekolah offline semangat ya♡"
"@queennKrii sekolah offline kak pulang jam 12, di lanjut les jam 3 wahwah😗","@queennkrii sekolah offline kak pulang jam 12, di lanjut les jam 3 wahwah😗"
@snikthbinn Semangat sekolah offline🙆🏻‍♀️,@snikthbinn semangat sekolah offline🙆🏻‍♀️
