tweet,tweet_cf
"@ttoragaleyo Efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur BESOK SEKOLAH OFFLINE GUE VI😭","@ttoragaleyo efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur besok sekolah offline gue vi😭"
@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye,@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye
gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh,gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh
"gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10","gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10"
tugas w di ttp aja banyak walau udh sekolah offline heran deh,tugas w di ttp aja banyak walau udh sekolah offline heran deh
MALES BGT BSK SEKOLAH OFFLINE,males bgt bsk sekolah offline
@convomf Bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.,@convomf bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.
"hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran HAHAHA 🙏🏻","hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran hahaha 🙏🏻"
"Stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

Hari ini vaksinasi anak sma, percobaan mau kelas offline. Semua siswanya ""iya kak, sekolah online mah bego"" 🥺","stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

hari ini vaksinasi anak sma, percobaan mau kelas offline. semua siswanya ""iya kak, sekolah online mah bego"" 🥺"
"tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/EOJqFinjOo","tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/eojqfinjoo"
semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt,semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt
"@convomf Gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")","@convomf gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")"
"GUE TAKUT KALO BSK DIA PAS MASUK SEKOLAH MATANYA BENGKAK ANJIRR MANA SEKOLAH OFFLINE LAGI, MASA ENTAR DITANYA SAMA GURU KAMU KENAPA ITU MATANYA? HABIS NANGISIN COWOK AU BU? KAN... BINGGUNG NANTI GURUNYA:(","gue takut kalo bsk dia pas masuk sekolah matanya bengkak anjirr mana sekolah offline lagi, masa entar ditanya sama guru kamu kenapa itu matanya? habis nangisin cowok au bu? kan... binggung nanti gurunya:("
pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻,pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻
@cllydefvl capek ya ternyata sekolah offline 😔,@cllydefvl capek ya ternyata sekolah offline 😔
"YaAllah besok ulangan bio OFFLINE, online sie tapi kita tu offline ngerti gx. Kita ke sekolah ulangan tapi tetep pake hp. TERUS NANTI NASIB KU GIMANEEE. Manalagi belajar trus si bolsi NGIRIM VIDEO JEONGWOO JIHOON KAN SAYA JADI TIDAK JADI BELAJARR","yaallah besok ulangan bio offline, online sie tapi kita tu offline ngerti gx. kita ke sekolah ulangan tapi tetep pake hp. terus nanti nasib ku gimaneee. manalagi belajar trus si bolsi ngirim video jeongwoo jihoon kan saya jadi tidak jadi belajarr"
"@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭","@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭"
Wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. Untungnya td temen ngingetin klo ada pr. Klo g mampoes aku.,wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. untungnya td temen ngingetin klo ada pr. klo g mampoes aku.
"@sunewrld @deobifess Jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn","@sunewrld @deobifess jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn"
jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momSslmh,jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momsslmh
"☆ study progress
🗓️ Tue, Oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gKMnYLspm","☆ study progress
🗓️ tue, oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gkmnylspm"
"@makmummasjid ""Denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035","@makmummasjid ""denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035"
dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀,dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀
@deathlyfive lal udah sekolah offline blm?,@deathlyfive lal udah sekolah offline blm?
@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗,@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗
Besok sy masuk sekolah (offline)🙂 sy mls sebenernya,besok sy masuk sekolah (offline)🙂 sy mls sebenernya
@abbycdeee BTW GAIS TADI KITA SEKOLAH OFFLINE LOH YUHU,@abbycdeee btw gais tadi kita sekolah offline loh yuhu
"nyesel gua masuk sekolah offline, digibahin guru2 di kantor","nyesel gua masuk sekolah offline, digibahin guru2 di kantor"
besok sekolah offline lagi ha.. ha.. ha..,besok sekolah offline lagi ha.. ha.. ha..
KENAPA SIH SETIAP GUE KEBAGIAN SEKOLAH OFFLINE PASTI ULANGAN 👎🏻👎🏻👎🏻👎🏻 https://t.co/1Aq0eUMJzP,kenapa sih setiap gue kebagian sekolah offline pasti ulangan 👎🏻👎🏻👎🏻👎🏻 https://t.co/1aq0eumjzp
@chitaglorya__ HIIII KAK CHITAAAAA GIMANA HARI INI ? kalo aku hari ini capek bangetttt krn sekolah offline huhu,@chitaglorya__ hiiii kak chitaaaaa gimana hari ini ? kalo aku hari ini capek bangetttt krn sekolah offline huhu
jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀,jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀
"haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal PAS offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai PAS. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau PAS atau lagi PAS, junnie doain -c-","haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal pas offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai pas. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau pas atau lagi pas, junnie doain -c-"
"@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️","@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️"
@radenrauf besok ga sekolah offline,@radenrauf besok ga sekolah offline
"@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. Kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :(","@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :("
"@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online","@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online"
offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok,offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok
@bayusaurus @lunai @schfess Kalo di sa pu daerah sempet online 1 semester saja. Jd dr bulan maret sampe agustus. Terus kita offline lg. Dulu pas online ya cmn dr web sekolah/wa. Dikasih file materi aja. Kadang jg ngerjain soal trs kirim wa. Kita gk pake zoom/gmeet/gcr/dsb.,@bayusaurus @lunai @schfess kalo di sa pu daerah sempet online 1 semester saja. jd dr bulan maret sampe agustus. terus kita offline lg. dulu pas online ya cmn dr web sekolah/wa. dikasih file materi aja. kadang jg ngerjain soal trs kirim wa. kita gk pake zoom/gmeet/gcr/dsb.
