username,tweetcreatedts,tweet
rantslita,2022-06-16 01:16:37+00:00,"@convomfs jan : Mulai sekolah offline
feb :plg seru, bcs ni dmna gue bareng"" trs sama temen gue, lat uprak dll.
mar :  ter ajgg, gue ditolak di snm
apr : seru agak nt, stres ngebut buat belajar sbm. 
may : gue ujian sbmptn 
jun : ovt scor sbm,sres daftar sana sini"
cewekjaehyun,2022-06-16 01:05:26+00:00,"@convomfs Plisss lah ini mau ajaran baru, guwehh mau sekolah offline ya gess!"
miekuah499,2022-06-16 00:41:13+00:00,Kasus siswa MTS #justiceforbintang itu parah banget pembullyan yang mengakibatkan bintang meninggal terus pelakunya anak dibawah umur itu tuh fatal banget tapi disini kita bisa ambil hikmahnya bahwa perlunya sekolah offline bukan hanya soal ilmu tapi untk membentuk karakter murid
niapages,2022-06-16 00:10:50+00:00,"@convomfs jan : pertama kali aku sekolah offline &amp; pulang malem cuz kerumah temen
feb : back to sekolah online
mar : gaketemu tmn n merasa semua temen pergi dr ak
apr : balik sekolah offline (renggang sama tmn sma, tp dpt temen lain)
may : ultah ak, nonton konser 
jun : liburan🫶🏼"
datbaIIadeer,2022-06-16 00:05:31+00:00,"@paimonfess Karna klen satu sekolah nih ya, kalo offline, datangi lalu gebuk lah muka dia. Ajak betumbuk irl ngapain betumbuk di genshin."
gummigula,2022-06-15 23:21:32+00:00,"@convomfs 💭 things u remember from 2022? 

jan : masuk sekolah offline
feb : kena cvd 
mar : sembuh cvd
apr : hari” ngedate, ketemu ortunya pacar
may : lebaran, hp baru, ujian kenaikan kelas
jun : ultah"
wanatabeeharuto,2022-06-15 23:03:02+00:00,"@Askrlfess heh anjir gue gak mau kek gini lagi ya, udah bagus sekolah offline soalnya dapet penjelasan kalau daring nanti ngaco gak akan bener. gue juga pengen ngerasain kelulusan secara offline yh, lo jangan bikin gue emosi deh nder"
hyhtbqhyrm,2022-06-15 22:41:28+00:00,"@Askrlfess Padahal sekolah offline tuh menyenangkan loh, jadi banyak kegiatan yg bisa dilakukan bareng2 kayak pensi, class meeting, ngerjain project bareng2, banyak acara menyenangkan yg tertunda selama 3 tahun ini. Dan lu minta daring lagi???????? Like what???"
udaqng,2022-06-15 22:27:55+00:00,"@croffliesz ini gua awal"" sekolah offline lagi kemaren😭"
smartgrull,2022-06-15 22:27:46+00:00,"@convomfs jan : Ultah gw
feb : dpt beasiswa les offline gratis 
mar : Ujian Sekolah
apr : fase 🦋
may : Utbk + break up wk 
jun : Lolos FK"
0pacarophilee,2022-06-15 20:54:26+00:00,"@convomfs ptm full wkwkw + uprak
foto katalog 
buat ktp
ujian sekolah offline
utbk😵‍💫
foto di self studio 

sisanya cm inget bolak balik inten rumah"
heexmine,2022-06-15 19:04:45+00:00,"jan : jadi badut nungguin trejo cb
Feb : trejo cb yeaaayyyy
Mar : idk, nemenin trejo promosi (?) sama pts keknya
Apr : TRACE 🫶🏼
May : Yoshi bday &amp; ptm pertama, after 2thn ga sekolah offline
Jun : pusingggg PAT 🙃 RECORD PICF 10 hours +++ https://t.co/GD8QhxbNa4"
renjunll,2022-06-15 18:57:02+00:00,"@convomfs jan : masuk offline
feb : ngecrushin orang
mar : ultah kakak gua 
apr : eyang meninggal
may : hp rusak, ultah gua
jun : lagi sibuk banget jadi babu sekolah karena ada acara"
iHuggieHoshi,2022-06-15 18:48:01+00:00,"jan : mulai masuk sekolah offline lagi
feb : mulai daftar ke univ lewat jalur rapot
mar : stress US sama stress nunggu pengumuman dari UI
apr : keterima ajztsksvgss
may : nganggur, confess ke crush
jun : graduation akYsjsh seneng, dan kemudian nganggur lagi sampe September nanti https://t.co/kFJNPrDePk"
leemarksm,2022-06-15 17:52:44+00:00,"jan : sekolah offline, ke puncak sama keluarga besar, ngepul mark
feb : treasure cb, dkt sama r word, mark solo
mar : ak ultah, haechan ngisi ost, PAT &amp; UM, pengumuman snm tp ak gk lolos wkwk, dream cb glimo
apr : treasure trace, pengumuman span ak lolos 🤩, puasa https://t.co/YCcsTC97ou"
lixsloaf,2022-06-15 17:32:42+00:00,"@jeonc4kes offline kena walk in gi sekolah, online kena pi website. nansmsmamdjsk nak gi ambik results kat sekolah, nak jumpa member jadnnssmamsm"
hcecihan,2022-06-15 17:30:32+00:00,"@convomfs jan : ketemu sm bestie sd
feb : prtama kali sekolah offline slama 2 thn
mar : ke pantai bareng temen
apr : winstreak di ml, masuk epic
may : ganti sendal setelah 3 thn 
jun : blm tau yh"
solofayou,2022-06-15 17:30:25+00:00,"@convomfs 💭 things u remember from 2022? 

jan : jalan jalan ke Jogja, sklh offline full
feb : lupa
mar : ga lolos snm
apr : ujian sekolah
may : sering jalan jalan 
jun : ambil ijazah, gampang nangis"
teriawk,2022-06-15 17:03:43+00:00,"@convomfs jan : sekolah offline, seru tp rada awikwok
feb : galau anjing putus 
mar : setres ujian praktek, selflove bingits
apr : puasa, naksir (BERat) sama nmixx esp sullyoon
may : lebaran, dapet pacar awikwok, jadi wibu
jun : ultah, kelulusan, insecure phase"
kontoImemek,2022-06-15 16:48:23+00:00,"@convomfs jan : awal masuk sekolah offline 100%
feb : loonaverse concert
mar : mulai nganggur, pusing utbk
apr : queendom 2
may : utbk
jun : secret 😁"
xkyztr,2022-06-15 16:44:54+00:00,"@convomfs 💭 things u remember from 2022? 

jan : MULAI SEKOLAH OFFLINE😎😎😎
feb : LUCAS APDET LOPE SEKEBON🫶🫶🫶🫶🫶
mar : TRY OUT 2 NILAIKU ANJLOK PARAH
apr : UJIAN SEKOLAH😔😔😔
may : GA FOTO PAS WISUDA ANYINK MADAPAKA
jun : PPDB MUMET"
jagavt,2022-06-15 16:42:36+00:00,"@convomfs jan : gatau
feb : gatau
mar : w ultah
apr : mulai sekolah offline
may : kenal satu temen baru
jun : UJIAN AKHIR"
strssdsan,2022-06-15 16:40:10+00:00,"💭 things u remember from 2022? 

jan : lupa
feb : sekolah offline
mar : us + pengumuman snm
apr : puasa
may : utbk
jun : gtau bakal inget apa kdpnnya https://t.co/K4mIk1AqDY"
0rdinarykids,2022-06-15 16:39:27+00:00,"@convomfs 💭 things u remember from 2022? 

jan : sekolah offline coi
feb : sibuk 
mar : ultah
apr : COMEBACK NYA BIGBANG 
may : utbk
jun : SELAMAT! ANDA DINYATAKAN LOLOS SBMPTN 2022, cari kostan, mulai perjalanan baru ((jiakh)) AAMIIN YA ALLAH AAMIIN AAMIIN AAMIIN AAMIIN"
pengenhamsyah,2022-06-15 16:37:08+00:00,"@convomfs 💭 things u remember from 2022? 

jan : sekolah offline
feb : suka sm crush
mar : awal bulan deket sm crus
apr : pertama kali di peluk crush
may : -
jun : lost contacts sm crush"
slmonbelly,2022-06-15 16:30:52+00:00,"@convomfs jan : offline school 
feb : got covid
mar : tugas akhir
apr : selesai sekolah 
may : KONSER ALLOBANK NCT DREAM
jun : graduations"
luvvylala,2022-06-15 16:18:30+00:00,"@convomfs 💭 things i remember from 2022!! 

jan : sekolah offline (akhirnyaa)
feb : uprak(?) online lgi wkwk
mar : ujian2 kyknya
apr : traktiran, dolan, nobar (bye kos2an)
may : utebeka, txt comeback gbgb
jun : WISUDA!! (+perpisahan, +dolan)"
arkaaikum,2022-06-15 16:18:08+00:00,"menangisi perpus sekolah yang penuh novel tapi baru ada pas awal² pandemi, dan baru kemaren baca pas offline. sekarang udah lulus 😭😭💔💔💔 https://t.co/8KXWKrm1ww"
akupusinkbgtt,2022-06-15 16:15:21+00:00,"@convomfs 💭 things u remember from 2022? 

jan : sekolah offline 100%
feb : -
mar : -
apr : -
may : - 
jun : ngang ngong ngang ngong doang tba² ujian kenaikan kelas. Hadeh"
ahengyadery,2022-06-15 16:01:26+00:00,"@Askrlfess jangan doong, ak mw ngerasain sekolah offline"
vierraharin,2022-06-15 15:48:55+00:00,"@schfess sepupu ku ada yg less disana juga, BA yang offline tapi. kata dia sih enak materinya dijelasin 2x trus bisa nanya tugas sekolah juga ke master teachernya"
coldvannila,2022-06-15 15:41:02+00:00,@schfess tmn aku yg sekolah offline nya senin kamis doang ttp lulus nder
loafkjw,2022-06-15 15:30:04+00:00,"@convomf jangan ngadi"" ye, gue masi mau sekolah offline 😮‍💨"
shotarouosaki,2022-06-15 15:18:35+00:00,@Askrlfess GUE MAU SEKOLAH OFFLINE
xyzdnzz,2022-06-15 14:57:24+00:00,"heran. tiap kampus ngeluarin kebijakan ""kuliah offline buat next semester"", corona makin menjadi aja. apakah corona gasuka sekolah? https://t.co/6gSfVIW0b6"
joongdunkday,2022-06-15 14:22:54+00:00,"adh bisa-bisa konser yg udh di jadwal kena cancel klo naik trs😓😓😓 trs sekolah onlen lg. tp pls jangan ya Allah baru jg merasakan hawa"" sekolah offline ))))): https://t.co/JGWdVt4aiv"
Justexo08042011,2022-06-15 13:45:22+00:00,"@axleera Bisa online bisa offline ka. Lebih enak offline karena bisa langsung menyerahkan berkas"" yang di butuhkan oleh pihak sekolah"
rutomiaw,2022-06-15 13:17:08+00:00,Yaelah plis aku mau Sekolah offline 😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔 https://t.co/bhV8c9eFcF
croicssant,2022-06-15 13:09:38+00:00,@Askrlfess sebegitu bodonya ya lu nder ampe gaberani sekolah offline? wkwk gws deh yh.
exileary,2022-06-15 13:06:20+00:00,@biggboyyz MOMENNY AJ DIKITTT soalny baru sekolah offline 2 bulan HAHAHAHA
dntkntngg,2022-06-15 12:56:24+00:00,@Askrlfess kenapa tiap mau ajaran baru selalu kasus naik? kan enak kalo sekolah/kuliah dah full offline :)
1402folders,2022-06-15 12:45:01+00:00,bener bener hal yg gue takutin pas sekolah offline tuh kejadian pas smp keulang lagi
krupukrenyahhh,2022-06-15 12:22:15+00:00,"@ditamoechtar_ Anak temen aku udah. Bulan kemarin. Mulai maraknya barengan ama hepatitis anak kmrn itu. Hati-hati ya parents. Ketularannya dr anak tetangga depan. Mungkin bawaan dr mulai sekolah offline kmrn itu. Untung ga terlalu parah, tp sampe seminggu stlh sembuh msh blm trll fit dia."
