username,tweetcreatedts,tweet
macaroonad,2022-06-10 06:35:09,"@schfess saran dri aku klo online itu pake mipy klo offline mungkin go kali yaa (?)

(+) offline : guru ngajar secara langsung, kalo bingung bisa nanya langsung, sudah terjadwal
(-) offline : capek tenaga alias butuh tenaga esxtra krn pulang sekolah hrus ke tempat les"
dyophineeeee,2022-06-10 05:26:41,@WEBCOMICFESS MEREKAAA kek kalo liat mereka jadi kangen masa masa sekolah offline dulu duh 😞 https://t.co/dziz9cH91w
namkooksha,2022-06-10 05:20:15,Gw pikir ya gais ini ga sampe 10 m gegara pda sekolah offline ga sii?? Ujian juga? Pas butter kan serba online
araluvyou,2022-06-10 04:23:46,"pokoknya harus offline, biarin aja tenaga gw habis mulu setiap pulang sekolah daripada gw jadi bodoh terus 😔 ttp prokes dong tentunya"
abcsaurus,2022-06-10 02:49:24,"gara2 udah masuk offline gue merasa belom puas woyy sekolah di sini. gue masih pgn pake seragam, gue pgn belajar sm ngerasain PAS lagi, gue pgn modusin crush, gue pengen art show, pengen jabajo jugaaa :("
dion_yulianto,2022-06-10 01:44:34,"@Fanda_A @rinurbad Paling kenceng konsumennya atk itu sekolah dan kantor mbak, pasti butuh pulpen, buku tulis, fotokopi dll apalagi udah WFO dan ujian offline"
bervmuda,2022-06-10 01:02:01,"konser fiersa, sekolah offline, bangun ekskul bareng, menang lomba, bring my 2019 back :( https://t.co/n5fueZ5ylu"
qifaadeer170845,2022-06-10 00:56:35,"@fknfrf @glassofkha 👍🏻 tetap semangat, sehat"" selalu, raih mimpi setinggi bintang, jangan takabur kalau sdh sukses.
Apalagi sdh offline school, masa terindah sekolah adalah SMA. Di mana pun belajarnya, itu semua kembali pd diri sendiri khususnya &amp; pengetahuan perlu tapi adab juga penting ya 🙏🏼"
SSuperTito,2022-06-10 00:44:39,"Anak-anak sekolah ,kuliah makin bodoh aja..

Offline /tatap muka itu penting untuk sosialisasi atau praktikum..

Mau aja dibohongin sales vaksin dan pengejar insentif vaksin. https://t.co/iU3hhS25Mg"
hopesugarr_,2022-06-10 00:41:33,Karena adekku sekolah offline jadi hp nya bisa ku pake buat streaming 😃
atasnamabulan,2022-06-10 00:10:02,"@xxzasdfghjkl Wkwkwkw gue introvert tp pling semangat sekolah offline, sosialisasi tidak perlu, ilmu nomor 1"
Nizah_Sonata,2022-06-10 00:09:08,"Brokoli + Chickel teriyaki + Samboza. 😍
Sudah sekolah offline. Mulai rajin bikin2 bekal lagi. 😌 https://t.co/YaSocAZWpX"
studtoday,2022-06-10 00:04:36,"Jangan pliss, rencana sekolah tahun ini padat banget, dan kangen suasana full offline 😭😭😭 https://t.co/yPstcQFdRT"
ggukietan,2022-06-09 23:11:18,pertama kali cb bangtan lagi sekolah offline:(
4evermork,2022-06-09 22:31:11,"@convomfs Serius, ini gw banget. Pas kelas 10 kan masih daring tuh, jadi bagi² tugass gitu lewat chat. Ada 1 cowok yang suka minta tugas dan dia juga sering gw mintain tugas. Di chat seru bgt, sampe nanyain gw kek gmana dll. Tapi sekarang pas udh sekolah offline, gak pernah ngomong sedi-"
ssefnum,2022-06-09 18:19:16,"-rl kalo guru kalian nanya ""kenapa ga bisa sekolah offline?"" kalian bakal kasih alesan apa?"
kzuhatelkomsel,2022-06-09 16:05:48,"@convomfs jgn lupa buat selalu kerja keras dan belajar terus di sekolah. cetak prestasi and prove your worth. kayaknya jg udh full offline ya? pasti seru deh. semoga kamu selalu dikerubungi orang2 baik ya. semoga km berhasil dapetin tujuan hidup km, tujuan km berjuang."
js_sooyaaaa,2022-06-09 15:26:34,"@starfess kalau mau sekolah offline sini haruto tukeran sama gua, boleh banget"
muffinandrice,2022-06-09 13:55:50,"@schfess lagian km baru masuk SMA. santai ajasih. btw emang kelamaan online tiba2 offline butuh adaptasi yegak. saran akumah sih jangan berekspektasi terlalu tinggi. sisain waktu buat km mengamati keadaan sekolah, buat bergaul lagi, gitudeh. jgn ngide mau aktif dulu (6)"
radarmadiunweb,2022-06-09 13:54:52,"10 Sekolah di Kota Madiun Buka PPDB Offline
https://t.co/6XGGx1Eeo6"
kupu2terbangg,2022-06-09 13:45:14,"@tanyakanrl foto ini diambil waktu awal awal sekolah offline 

– 20 sep 2021 https://t.co/5tXCC89yRl"
ruto_damdam,2022-06-09 13:37:32,@teuverse_id @treasuremembers huhu syg ku pgn sekolah offline juga ya
meijuni__,2022-06-09 13:31:47,"@StopPlandemit Plis atulah.. Mau sampe kapan? Anak2 baru saja merasakan sekolah offline, baru saja lepas masker. Gemeeeesssss"
aooralpoetri_,2022-06-09 13:04:07,"@collegemenfess jujur ini gue lg batuk trus tenggorokan gatel udah 3 harian
tp pls jgn online duluu,gue pgn ngerasain sekolah offline,gue kangen seragam guee,gue kangen interaksi sm crush
papa gue uda ngasi duit buat beli kebutuhan back to school,masa mau diambil lg grgr gjdi back to school🙂"
jawapos,2022-06-09 13:00:03,10 Sekolah di Kota Madiun Buka PPDB Offline https://t.co/BblqGNbWeb
jjeonhuijin,2022-06-09 12:43:57,Aku udah ngebayangin nanti pas mulai sekolah offline lagi mau bawa bekel apaa :D
nabee_ous,2022-06-09 11:54:18,"@tanyakanrl Jangan kaya dulu lagi pliss. Ini udah nyaman sekolah offline, ekonomi juga udah pada membaik, acara2 yang sebelumnya ketunda juga baru mau digelar lagi, orang-orang udah pada produktif lagi jangan sampe keganggu karena corona"
trfblue,2022-06-09 11:38:32,"@Askrlfess saran gue nder dateng ke sekolah langsung, karena di verifikasi datanya kayanya secara manua, gue aja td siang gitu, daftar hari senin ga di acc, akhirnya daftar offline langsung ijo trs dikasi kertas pendaftarannya"
Kodzukenmaw,2022-06-09 11:34:54,"Waktu 2 tahun lalu harusnya aku mpls offline, tapi karena pandemi jadi nya mpls online
Terus dari sekolah lagi nyari panitia buat mpls tahun ini. Kemungkinan bisa offline dong ya?

Jadi panitia mpls yay/nay?"
besitigaen,2022-06-09 11:31:18,"di fyp aku sliweran sekolah sekolah udah pada event offline gitu kek classmeet, ikut seneng, tapi iri jugaa"
trysmileveryday,2022-06-09 10:46:02,"aduh kadang yang ngeselin dari sekolah offline tuh kerennya pas pagi doang, pulangnya kucel"
ZxnJoev,2022-06-09 10:07:13,@luorgawikwokbgt @schfess kalau daftar ulang offline kak ke sekolah tujuan
happydemit,2022-06-09 09:49:58,WKWKWK ANJIR YA NIH GUE MAU MENGELUARKAN KELUH KESAH.. dan mau bertanya.. ini cuma sekolah gue doang yg ujiannya udah offline dan pake KERTAS LJK??? jujur 2 tahun sekolah online ga ada yg msuk otak😭 jd maaf bgtt shock tau2 pake ljk
MrsAnggoro,2022-06-09 08:39:29,Keresahan para ibu setelah anak² mereka mulai sekolah secara offline adalah akan adanya pengaruh² yg bisa dibilang buruk dikarenakan adanya siswa² yg berumur terpaut jauh dari anak² mereka.
nugrohoadiutomo,2022-06-09 06:51:31,"@FirstMediaCares halo FM saya mau berhenti berlangganan dari first media, karena saat ini kami sudah tidak memerlukan koneksi internet di rumah dan sekolah sudah kembali offline..

Mohon bantuannya ya FM. Terimakasih"
ennyang_,2022-06-09 05:58:42,Gue lupa bgt sekolah udh offline and genuinely shocked lihat mereka dimana mana kyk lho sekolah udh masuk offline?? Lho kok jam segini udah pulang?? Lho knp cafe isinya anak sekolahan semua?? Padahal dulu gue juga gitu wgwgwg
meitchelll,2022-06-09 03:10:55,"halo yang sekolah dan kuliah, kalian udah offline terus atau masih online ya?"
hnfrfdz,2022-06-09 00:43:21,"@collegemenfess Ppl kemaren alhamdulillah kebagian offline di smk, gabisa pilih sekolah, udah dipilihin dari kampus, rumah-sekolah 30 menit jadi harus berangkat jam 6 kurang biar set. 7 udah sampe di sekolah, seru bgt tapi sayangnya cuma 40hari padahal warga sekolahnya bikin nyaman😭👍🏻"
NovietaSuyoso,2022-06-08 23:38:45,"Sekolah sampun dimilai offline. Wonten sepalih tiyang sepuh asli tiyang Jawi mboten saget krama, mboten saget ngajari putranipun wusananipun kang putra pikantuk nilai awon. Menawi sampun mekaten, gurunipun ingkang dipunsalahaken. Vid punika menawi dados semangat sinau boso Jawi🙏 https://t.co/I7md7s8NX2"
safihalal,2022-06-08 18:41:51,"Circle kalau sekolah offline full day
- enggak tidur siang
- enggak minum kopi
- habis isya ketiduran
- pukul 11 bangun
- produktif sd pukul 2"
Ayu_Destria,2022-06-08 17:00:19,"Biasa aja 🙂 sekolah offline cuma bentar
Jadi gak terlalu banyak kenangan https://t.co/t0fb00vnHt"
akusukaanggur_,2022-06-08 16:22:03,"@indomyfess Aduh jum'at mana sekolah offline lagii, tpi ku usahain sempet ikut premier😭🙏"
yellowpostitbro,2022-06-08 15:51:14,believe it or not aku sejak 2 taun yg lalu udah bm bakpao ijo ini tp ga kesampean gara-gara sekolah onlen trus skrg udah offline eh ternyata di sma ga jual 🥲💔💔💔💔 padahal ini kaya jajanan wajib kantin sekolah 😔☝️ https://t.co/IavuWig4Ja
uarmyva,2022-06-08 15:41:18,"@armyfess_ skrg?? banyak yg sekolah udh offline, kerja jg, kuliah, army pasti streaming tp mereka jg ada kegiatan lain kan?? dulu pas di rumah wfh, sekolah daring pasti waktu lebih banyak jd streaming jg lebih banyak naik. kurang2in dah ngirim menfess gini, malah terkesan jatuhin semangat"
azraaaff,2022-06-08 14:49:31,ni hp gue knp tiba tiba sakit sih ya allah mana bsk gue pat offline di sekolah harus pake hp🥲🥲
dinadimu,2022-06-08 14:47:49,"@innamisme1 Ikut kelas yang ga tiap hari aja Teh. 

Ada Sekolah Murid Merdeka, ada kelas online &amp; offline, ga tiap hari, bebas mau ikut kelas atau ga asal tugas dikerjakan."
shingeumhui_,2022-06-08 14:26:50,"@schfess alhamdulillah nyampe 💗
mulai dari satu sekolah sm bestie sd, saling kenal kakel, ikut bbrp organisasi (luar/dalam sklh) yg bikin aku bisa berkembang, online class, 50% sesi offline class,dan diakhiri dengan circle baru yg super baik!tapi semua ituu pasti ada part gaenaknya kok🤍"
noodleallday,2022-06-08 13:21:06,gila SMP SMA cuek bgt kalo pengen bolos sekolah atau mau pulang duluan… pas awal kuliah masih offline semangat terus gapernah bolos tp sekarang pas online-offline jadi males bgt masuk tapi takut C D 😣💔
iniakunstudy,2022-06-08 12:23:05,"@seoulcanada adaa, di dom aku online tapi berangkat sekolah. Cuma di sekolah aku yang pake kertas dan bener"" offline"
treesure_member,2022-06-08 11:48:11,"@cukoopies @schfess Aku dulu deg-degan soalnya kebagian sekolah offline lagi waktu sma kls 12 smt 1 mau ujian semester. Berusaha menciptakan kenang-kenangan bareng temen juga takut gitu mempersiapkan buat ujian sekolah+ujian masuk kampus. Kayak, gila, udah mau jadi anak gede nih aku. Gitu si"
CloudyLikeU,2022-06-08 10:19:25,@subschfess Gak ada😭. Gak deket dgn kawan SMA. Cuma kelas 10 yang kerasa vibes walaupun cm setengah tahun sekolah full offline
dryymal,2022-06-08 10:16:44,"Kalo misalkan sekolah offline sampe jam 3 lagi, badan gw remuk sih pasti"
Dzakyz1,2022-06-08 10:06:31,Masih kesel gara2 covid sekolah offline cmn 1thn lah kira2 itu juga gabungan kelas 10 1 smstr kelas 12 akhir akhir doang fakk 2 tahun nolep
darkhorseyoshi,2022-06-08 09:33:43,@edwardkwoon eh tapi aku sekolah offline 🫠
ziurzizii,2022-06-08 09:23:33,@kuekeeju LOH?? BELUM OFFLINE? sekolah aku udah offline gradu nya...
i9minho,2022-06-08 08:09:14,"@neuyla ihhhh kangen banget ga sih:( sekarang kek pada sibuk gitu jadi ga seaktif yang dulu, di tambah tuh sekarang sekolah udah pada offline ya😔😔"
jexatommo,2022-06-08 07:59:26,"@khaiaths Eh nggak tahu sekolah lain kek apa, tapi sekolah ku walau negeri yang ngurusin ppdb itu anak mpk-osis tingkat 2 sama 3🥲mau online sama offline."
L0VINGSANGWON,2022-06-08 07:18:17,"@AREAJULID Ga ada kantin di sekolah dulu pas masi offline, yang jualan depan sekolah pun ga ada kalo pun ada ga bakal dibolehin sama mama. Sekolah sekarang ada kantin tapi tutup karna c word"
pwrplegrl,2022-06-08 05:29:03,"@AREAJULID Cilor yg suka depan STM sebelum cvd, pas ada cvd gatau lgi si mamang nya pindah kmna, terus skrng udh sekolah offline lagi tetep gaada🙂"
Edogwa_Raein,2022-06-08 05:14:44,"@naiichiiruu ada kok yg jual kalau ke sekolah abangnya masih ada, jarang karena gak ada sekolahkan selama pandemic. Semenjak sekolah dah pada offline yg biasa jualan pada muncul lagi"
hesulla,2022-06-08 04:33:18,@convomfs hah kan skrng lagi online-offline trs bukannya sekolah? wajar aja dia bingung. ini mksndya belajar dirumah (online) atau libur gitu
cmhigiri,2022-06-08 03:49:38,"ppdb jabar

kalo daftar offline ke sekolah masih bisa ambil pilihan ke 2 ga ya?"
1_Rey_6,2022-06-08 03:26:15,"Aku ga mau ikut acara offline sekolah
Tpi knp anak kls 90% ikut semuaaaaaaaaaaaaaaa 😭😭😭😭😭😭😭😭😭😭"
dustbinuniverse,2022-06-07 16:51:25,"@bininyakjongin @Mlnftr @iiaa_04 @AREAJULID sebenernya banyak ni oknum yg kyk gini, makannya banyak yg ngerasa lebih belajar di bimbel dibanding sekolah, platform belajar online/offline pun rame bgt ya salah satunya krn ini, kasian yg emg gamampu buat les, peer to peer blm tentu bener cara nyampeinnya malah salah tangkap"
1dreamlab,2022-06-07 16:16:21,"kerasa banget minusnya sekolah/kuliah online (maaf gak tau aku kalo kerja gimana) tuh orang2 jadi lupa batas jam. kalo offline ya tau kalo malem waktu istirahat jd sungkan mau ganggu, tp kalo online gini menganggap selalu di rumah &amp; selalu stand by hp jd seenaknya sendiri kadang https://t.co/tmcJzwyWKq"
ilovyangs,2022-06-07 15:34:27,"@mellifluous_ily BENERRRRRR, bongkar rahasia semasa sekolah offline dulu wkwkwk"
showedrugs,2022-06-07 15:33:32,Tuhan bersama anak sekolah yang ujiannya offline
mrijallll_,2022-06-07 15:31:59,"Tak dungakno mben sekolah offline e lancar,seger waras,"
ilovyangs,2022-06-07 15:30:00,@mellifluous_ily samaaa dulu pas masih sekolah offline 😭😭😭
pacarnyadobbie,2022-06-07 14:49:34,"bayangin aja kelas 9 udah bego eh kls 10 makin bego mtk gara2 gurunya ga pernah menjelaskan, ditambah lagi muridnya malas mencary penjelasan di yt:) 
JADI KLO GINI GUNA SEKOLAH OFFLINE TUH APA ANJ"
jejuboyzz,2022-06-07 14:43:53,"@4evertbz_ Oo, ok ok aku pikir ulangan offline di sekolah gitu"
WindyPJ,2022-06-07 14:39:35,"Sudah libur sekolahhhh 🥲 akhirnyaaa~ walaupun les blm libur, sangat2 lega emak nya ga usah mikirin pr, google meet, zoom, google classroom, absensi, isi form skrining online, ptmt 🥹 semoga next academic year uda offline ajah masuk sekolah fulllll 🤞🏻"
assitdsol,2022-06-07 14:16:38,ngeliat sg temen temen yang sekolah udah pada classmeet offline. RASA IRI DENGKIKU GEDE BANGET INI
strongjibeom,2022-06-07 13:54:44,"@collegemenfess Sering malah nder waktu offline, kebiasaan bekel dari sekolah"
