username,tweetcreatedts,tweet
DEOURBE,2022-06-18 23:00:48+00:00,"@emaknyadodger @convomf ""murid meninggalkan ruangan"" berarti dia beneran buka apps lain gitu kan atau ""murid offline"" kalau ini dia buka new tap dalam chrome, bcs webnya cuma bisa di apply di chrome gitu. temen gua pernah gini, cuma ada dua pilihan ngulang di laptop or komputer sekolah atau gagal ujian"
beraktivitas,2022-06-18 21:53:05+00:00,"tpi kalo ga ditanya, anaknya gengsian gamau dibantu. 

skrg gue udh rantau lagi dan doi dah balik sekolah offline, eh malah.... 🙂

biasanya gw yg negur nyokap kalo ngomelinnya kebangetan wkwkw semalem anaknya gue chat tp ga tega jg gue nanya2 ttg sekolah."
aku18_,2022-06-18 21:08:43+00:00,"halo temen-temen, hari ini aku abis perpisahan sama temen2 smp :( 

cukup sedih soalnya 2 tahun aku ngga sekolah offline 

pesan buat temen2 semua, semoga temen2 sehat selalu, panjang umur serta sukses, 
goodluck 😀😫"
staywithjeong,2022-06-18 16:47:41+00:00,sekolah offline bismillah skdhdidmdj biar bisa nabung🥲 BISMILLAH KETERIMA
cicilorr,2022-06-18 15:22:30+00:00,"janji ga iri ngeliat graduation temen pada offline seru seruu, sekolah gw graduationnya online tapi ke sekolah cuma ngalungin mendali 🥺😓☝🏻"
penghunibioskop,2022-06-18 13:46:46+00:00,"Kaya sekolah tuh gua ga bisa online anjirr, waktu masih offline everyday nih gua aktif banget anaknya pengen ikut ini itu belajar gua rajin, kalo di kelas gua fokus banget, pokonya suka jadi bahan contekan deh
Tapi pas online tuh gua jadi males banget njir bodo amatan pokonya"
KlSHlDARlRlKA,2022-06-18 12:50:58+00:00,"serius deh, jasa tulis di online itu buat apa? sekarang kan rata rata udah offline sekolah nya 😭"
_urg1rl,2022-06-18 12:03:39+00:00,"@ars_df @armyfess_ Mjb, dan menurutku krn udh banyak yg sekolah/kuliah offline dan wfo jg pengaruh sih"
bapakgeografi,2022-06-18 10:12:22+00:00,"@schfess kirim ke perusahaan2 atau media psrtner yg biasa jalin kerjasama sama sekolah lain. kalo aku dulu langsung kirim ke kantornya offline tapi ga ada yg diacc aowkaowkaoak. malah dapetnya yg jalur ordal, bukan jalur sie sponsor. (cont.)"
apalagijuni,2022-06-18 07:26:38+00:00,Sekolah sama kuliah udh mulai offline ga si?
fleuristecanzii,2022-06-18 06:43:27+00:00,Ini nilai ujian sekolah offline :3 https://t.co/sGHaBX0zcL
iridoriscent,2022-06-18 06:26:34+00:00,"Udemy sama Kominfo, dulu aku waktu awal belajar digital marketing dari Kominfo x Grab, seru sih. Ada juga dari FSF UGM ini juga seru karena step by step. Kalo mau belajar instrumen investasi di IDX Semarang ada sekolah pasar modal dan bertahap, ada online sama offline juga kok https://t.co/OTmrSoDJ0t"
heavyliesss,2022-06-18 05:48:47+00:00,@zwyitsal Keseringan sekolah online.... Sekalinya offline pd lawak 🤣
gyuum97,2022-06-18 05:15:48+00:00,gw tkt war ticketnya pas ntar july PAS GW UDH SEKOLAH OFFLINE 😭
spookjolly,2022-06-18 03:49:48+00:00,TARA MAK JRENG SENIN SEKOLAH OFFLINE 😄😄😄😄😄
kouslace,2022-06-18 02:30:24+00:00,"@nangisTao begadang kah? hayooo sekolah udah mulai offline, perbaiki jam tidurmu yaa biar ga kecapean &amp; belajarnu efektif &lt;33"
hiiprayy,2022-06-18 02:01:32+00:00,"Guys, yg dom Surabaya, sekolah/kampus kalian ada wisuda offline nggak? Dan kapan? Tolong bagi infonya yaa, mau menjajakan diri XD"
timooooorrr,2022-06-18 01:52:57+00:00,"Kapan sih anak sekolah masuk
Baru juga sekolah offline udah libur lagi
Berisik banget sumpah pagi2 teriak2
Kudu tak tapuki siji siji"
PPDBDKI1,2022-06-18 01:27:41+00:00,@lovember11 @leesxhin Sejauh ini masih dilakukan secara offline dan dapat ditanyakan ke sekolah tujuan ya kak untuk prosedur selengkapnya
jekhengker,2022-06-18 01:22:07+00:00,@BERGUNJlNG gini gini gw sekolah 12 tahun offline sempat praktek renang 😢😢😢
GunplaGunGun,2022-06-18 00:15:28+00:00,@Strawxxxbby @do0natt @Proteussiiu @sbmptnfess Kalo 2012 &amp; 2013 diseluruh kampus dan sma. Tes juga offline dari pagi sampe sore. Bisa muat sekolah dan kampus di indonesia banyak.
